ID,Date,Basin,Region,Pollutant,Concentration,MPC,water_body,water_body_type,station,source_bulletin
155,2024-09-30,Nura-Sarysu,Karaganda,Sulfates,95.6,500.0,Шолақ көлі,lake,,Nura-Sarysu_2024-09.pdf
156,2024-09-30,Nura-Sarysu,Karaganda,Sulfates,171.0,500.0,Қоқай көлі,lake,,Nura-Sarysu_2024-09.pdf
157,2024-09-30,Nura-Sarysu,Karaganda,Sulfates,181.75,500.0,Балкаш көлі,lake,,Nura-Sarysu_2024-09.pdf
158,2024-09-30,Nura-Sarysu,Karaganda,Sulfates,237.0,500.0,Есей көлі,lake,,Nura-Sarysu_2024-09.pdf
159,2024-09-30,Nura-Sarysu,Karaganda,Sulfates,310.0,500.0,Сұлтанкелді көлі,lake,,Nura-Sarysu_2024-09.pdf
160,2024-09-30,Nura-Sarysu,Karaganda,Sulfates,2390.0,500.0,Теңіз көлі,lake,,Nura-Sarysu_2024-09.pdf
161,2024-09-30,Nura-Sarysu,Karaganda,Zinc,0.005,0.01,Балкаш көлі,lake,,Nura-Sarysu_2024-09.pdf
162,2024-09-30,Nura-Sarysu,Karaganda,Zinc,0.0064,0.01,Сұлтанкелді көлі,lake,,Nura-Sarysu_2024-09.pdf
163,2024-09-30,Nura-Sarysu,Karaganda,Zinc,0.0107,0.01,Теңіз көлі,lake,,Nura-Sarysu_2024-09.pdf
164,2024-09-30,Nura-Sarysu,Karaganda,Zinc,0.0108,0.01,Қоқай көлі,lake,,Nura-Sarysu_2024-09.pdf
165,2024-09-30,Nura-Sarysu,Karaganda,Zinc,0.0194,0.01,Шолақ көлі,lake,,Nura-Sarysu_2024-09.pdf
166,2024-09-30,Nura-Sarysu,Karaganda,Zinc,0.0209,0.01,Есей көлі,lake,,Nura-Sarysu_2024-09.pdf
167,2024-10-31,Nura-Sarysu,Karaganda,Copper,0.0008,0.001,Балкаш көлі,lake,,Nura-Sarysu_2024-10.pdf
168,2024-10-31,Nura-Sarysu,Karaganda,Copper,0.0023,0.001,Теңіз көлі,lake,,Nura-Sarysu_2024-10.pdf
169,2024-10-31,Nura-Sarysu,Karaganda,Copper,0.0036,0.001,Есей көлі,lake,,Nura-Sarysu_2024-10.pdf
170,2024-10-31,Nura-Sarysu,Karaganda,Copper,0.0038,0.001,Шолақ көлі,lake,,Nura-Sarysu_2024-10.pdf
171,2024-10-31,Nura-Sarysu,Karaganda,Copper,0.004,0.001,Қоқай көлі,lake,,Nura-Sarysu_2024-10.pdf
